,price,frequency
0,300000000,1606
1,200000000,1446
2,400000000,1443
3,500000000,995
4,1000000000,802
5,600000000,698
6,700000000,545
7,100000000,516
8,800000000,485
9,2000000000,462
10,900000000,324
11,3000000000,184
12,4000000000,69
13,90000000,46
14,5000000000,32
15,80000000,27
16,7000000000,15
17,70000000,14
18,6000000000,12
19,10000000000,12
20,8000000000,8
21,50000000,8
22,9000000000,5
23,60000000,5
24,20000000000,4
25,40000000,3
26,30000000000,3
27,2000000,3
28,40000000000,2
29,3000000,2
30,7000000,1
31,600000000000,1
32,30000000,1
33,1000000,1
34,60000000000,1
